2018-04-02 09:44:17am ::1  localhost/smis/pages/reports/academic_report/st_attendance_report 
2018-04-02 12:48:56pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/delete/1302 
2018-04-02 12:48:57pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:49:00pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/delete/1295 
2018-04-02 12:49:00pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:49:02pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/delete/1300 
2018-04-02 12:49:02pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:49:09pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:50:16pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/edit 
2018-04-02 12:50:35pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/delete/1310 
2018-04-02 12:50:36pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:51:27pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-04-02 12:51:27pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:52:01pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-04-02 12:52:01pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:52:53pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-04-02 12:52:53pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:53:17pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-04-02 12:53:17pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:53:43pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-04-02 12:53:43pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:54:12pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-04-02 12:54:12pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:54:38pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-04-02 12:54:38pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:55:00pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager/add 
2018-04-02 12:55:00pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-04-02 12:55:27pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/exam_setting 
2018-04-02 12:56:04pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/subject_manager 
2018-04-02 12:56:49pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 12:57:49pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 12:58:15pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 12:58:15pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 12:58:42pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 12:58:42pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:00:33pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:00:33pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
