2018-04-05 11:52:11am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1214 
2018-04-05 11:52:11am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1214 
2018-04-05 11:52:17am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1214 
2018-04-05 11:52:17am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1214 
2018-04-05 11:52:22am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1218 
2018-04-05 11:52:22am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/student/details/1218 
2018-04-05 11:58:23am ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 12:00:39pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 12:00:42pm ::1 satishm localhost/smis/pages/ajax/sst_evaluation?exam_id=2&st_id=1214&subject_id=121 
2018-04-05 12:02:39pm 192.168.1.11 satishm 192.168.1.109/smis/pages/ajax/sst_evaluation?exam_id=2&st_id=1215&subject_id=121 
2018-04-05 12:03:10pm 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/exam_summary_report 
2018-04-05 12:03:18pm 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/view_terminal_total 
2018-04-05 12:03:18pm 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/view_terminal_total 
2018-04-05 12:03:21pm 192.168.1.11 satishm 192.168.1.109/smis/pages/profile/student/details/1218 
2018-04-05 12:03:21pm 192.168.1.11 satishm 192.168.1.109/smis/pages/profile/student/details/1218 
2018-04-05 12:03:42pm 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/view_terminal_total 
2018-04-05 12:03:42pm 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/view_terminal_total 
2018-04-05 12:04:44pm 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-04-05 12:04:50pm 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-04-05 12:09:01pm ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 12:09:07pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 12:10:28pm ::1 satishm localhost/smis/pages/ajax/sst_evaluation?exam_id=2&st_id=1215&subject_id=123 
2018-04-05 12:12:15pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/17 
2018-04-05 12:12:34pm ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 12:12:40pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/17 
2018-04-05 12:14:02pm ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 12:14:08pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/17 
2018-04-05 12:15:47pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/17 
2018-04-05 12:16:27pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/17 
2018-04-05 12:17:52pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/17 
2018-04-05 12:20:40pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/13 
2018-04-05 12:20:46pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/13 
2018-04-05 12:20:51pm ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 12:20:57pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 12:22:06pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 12:22:32pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 12:23:20pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 12:23:50pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 12:25:37pm ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
