2018-03-07 01:29:29pm ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-07 01:29:33pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1304 
2018-03-07 01:30:39pm ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 01:30:45pm ::1 satishm localhost/smis/pages/exam/exam_setting/update 
2018-03-07 01:30:45pm ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-07 01:30:50pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1304 
2018-03-07 01:30:57pm ::1 satishm localhost/smis/pages/exam/marks_entry/update/1304 
2018-03-07 01:30:58pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1304 
2018-03-07 01:31:21pm ::1 satishm localhost/smis/pages/exam/marks_entry/update/1304 
2018-03-07 01:31:22pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1304 
2018-03-07 01:32:43pm ::1 satishm localhost/smis/pages/exam/marks_entry/final_insert/1304 
2018-03-07 01:32:44pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1304 
2018-03-07 01:32:53pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:37:00pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 01:37:50pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/edit/1239 
2018-03-07 01:38:21pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:38:21pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:38:23pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:38:37pm ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-07 01:38:47pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:38:48pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:38:50pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:39:26pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/update/1239 
2018-03-07 01:39:27pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/edit/1239 
2018-03-07 01:39:35pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:39:38pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:39:38pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:39:40pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:39:49pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-03-07 01:39:55pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:39:59pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:39:59pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:40:01pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:40:20pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:40:20pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:40:22pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 01:40:48pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 01:40:48pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
